"id_num";"ind_accda";"nombre_ind_accd";"ind_acciv";"nombre_ind_acciv";"total_mu30df";"total_hg30df";"total_hl30df";"fecha_accidente";"hora_accidente";"mes_1f";"nombre_mes";"anyo";"ccaa_1f";"nombre_ccaa";"provincia_1f";"nombre_provincia";"cod_municipio";"nombre_municipio";"carretera";"km";"sentido_1f";"nombre_sentido";"tipo_via_3f";"nombre_tipo_via";"titularidad_via_2f";"nombre_titularidad_via";"tipo_animal_1f";"nombre_tipo_animal_1f";"tipo_animal_2f";"nombre_tipo_animal_2f";"longitud";"latitud";"geom";"dia_semana";"nombre_dia_semana";"parte_dia";"luna";"prec";"tmin";"tmax";"sol";"uso_suelo";"altitud";"pendiente";"taxonkey";"tipo_dia";"tmed";"imd_total";"maxspeed"
201834068410;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2018-11-04;"21:45";11;Noviembre;2018;8;Castilla y León;34;Palencia;0;;CL-612;20.25;2;Descendente;2;Resto vías interurbanas;2;Autonómica;8;Jabalí;1;Silvestre;-4.86589;41.93927;POINT (-4.86589 41.93927);7;Domingo;Noche;16;18.6;1.3;15.7;5.9;Cultivos;754.977;-9999.0;"7705930";Finde;8.5;2242.0;90
201822058383;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2018-10-25;"0:15";10;Octubre;2018;2;Aragón;22;Huesca;0;;A-130;18.0;1;Ascendente;2;Resto vías interurbanas;2;Autonómica;8;Jabalí;1;Silvestre;0.11832;41.77801;POINT (0.11832 41.77801);4;Jueves;Noche;100;0.0;7.1;21.2;10.1;Cultivos;248.445;-9999.0;"7705930";Diario;14.149999999999999;434.0;90
201750048280;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2017-04-13;"23:15";4;Abril;2017;2;Aragón;50;Zaragoza;0;;A-127;2.0;1;Ascendente;2;Resto vías interurbanas;2;Autonómica;8;Jabalí;1;Silvestre;-1.35018;41.86148;POINT (-1.35018 41.86148);4;Jueves;Noche;97;0.0;7.6;27.4;0.0;Cultivos;273.592;4.0809999999999995;"7705930";Diario;17.5;10810.0;90
202042129103;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2020-11-01;"18:20";11;Noviembre;2020;8;Castilla y León;42;Soria;0;;SO-P-2001;1.7;2;Descendente;2;Resto vías interurbanas;3;Provincial, Cabildo/Consell;5;Corzo;1;Silvestre;-2.07865;41.80131;POINT (-2.07865 41.80131);7;Domingo;Anochecer;;0.0;8.7;20.1;9.3;Monte arbolado;1135.218;2.1385;"5220126";Finde;14.4;3988.0;80
201942101123;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2019-11-20;"9:30";11;Noviembre;2019;8;Castilla y León;42;Soria;0;;SO-100;9.95;1;Ascendente;2;Resto vías interurbanas;2;Autonómica;5;Corzo;1;Silvestre;-2.54095;41.6753;POINT (-2.54095 41.6753);3;Miércoles;Día;;1.0;-2.6;8.6;2.8;Cultivos;1172.573;-9999.0;"5220126";Diario;3.0;56.0;80
201635015848;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2016-10-27;"13:15";10;Octubre;2016;5;Canarias;35;Palmas, Las;35017;Puerto del Rosario;FV-2;4.9;1;Ascendente;2;Resto vías interurbanas;3;Provincial, Cabildo/Consell;20;Canino;2;Doméstico;-13.87274;28.45655;POINT (-13.87274 28.45655);4;Jueves;Día;;0.0;19.7;25.4;8.8;Monte desarbolado;-999.0;-9999.0;"";Diario;22.549999999999997;10577.0;90
202137157602;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2021-11-15;"8:30";11;Noviembre;2021;8;Castilla y León;37;Salamanca;0;;SA-225;19.9;2;Descendente;2;Resto vías interurbanas;2;Autonómica;2;Cabra montés;1;Silvestre;-6.06558;40.40446;POINT (-6.06558 40.40446);1;Lunes;Día;;0.0;5.9;18.4;0.0;Monte desarbolado;499.839;24.8425;"2441054";Diario;12.149999999999999;845.0;90
201934096632;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2019-11-30;"23:20";11;Noviembre;2019;8;Castilla y León;34;Palencia;0;;P-220;16.1;2;Descendente;2;Resto vías interurbanas;2;Autonómica;22;Equino;2;Doméstico;-4.29039;42.91959;POINT (-4.29039 42.91959);6;Sábado;Noche;13;4.0;0.0;12.6;0.0;Monte arbolado;1330.319;8.385;"2440886
";Finde;6.3;322.0;90
201909079513;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2019-11-22;"8:28";11;Noviembre;2019;8;Castilla y León;9;Burgos;0;;CL-629;74.0;1;Ascendente;2;Resto vías interurbanas;2;Autonómica;5;Corzo;1;Silvestre;-3.51438;43.01396;POINT (-3.51438 43.01396);5;Viernes;Amanecer;;1.8;6.0;13.4;0.5;Cultivos;575.723;19.7695;"5220126";Diario;9.7;1342.0;90
201841070929;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2018-04-09;"2:30";4;Abril;2018;1;Andalucía;41;Sevilla;41024;Carmona;A-4;518.75;1;Ascendente;1;Autopista y autovía;1;Estatal;20;Canino;2;Doméstico;-5.76044;37.45327;POINT (-5.76044 37.45327);1;Lunes;Noche;44;0.0;7.8;16.9;8.2;Cultivos;67.843;0.2375;"";Diario;12.35;24689.0;120
